e, spectrum, unc
7.099999999999999645e-01,6.498373096444403712e+18,4.594694339773486853e+08
7.199999999999999734e-01,6.516781875047231488e+18,4.534245197074460387e+08
7.299999999999999822e-01,6.361906636231603200e+18,3.617239853910946846e+08
7.399999999999999911e-01,6.340558257116399616e+18,3.649343269804891348e+08
7.500000000000000000e-01,6.159159251573068800e+18,3.703954358780354261e+08
7.600000000000000089e-01,6.165423267550623744e+18,3.712337469654908180e+08
7.700000000000000178e-01,6.138781915988862976e+18,3.691620014217237234e+08
7.800000000000000266e-01,6.131787713972219904e+18,3.686504195213083625e+08
7.900000000000000355e-01,6.139928103038038016e+18,3.699245224534215927e+08
8.000000000000000444e-01,6.130894693950102528e+18,3.698591500350594521e+08
8.100000000000000533e-01,6.126229869862915072e+18,3.751700339503692389e+08
8.200000000000000622e-01,6.129149789321485312e+18,3.751897990348427296e+08
8.300000000000000711e-01,6.120215521568024576e+18,3.786796797062513828e+08
8.399999999999999689e-01,6.067984624287128576e+18,3.822478165231710672e+08
8.499999999999999778e-01,6.073703641886138368e+18,3.845761259767521024e+08
8.599999999999999867e-01,6.034702743967726592e+18,3.818629780959494114e+08
8.699999999999999956e-01,6.014060227114173440e+18,3.803408177167189717e+08
8.800000000000000044e-01,5.982891431585227776e+18,3.786803964430475831e+08
8.900000000000000133e-01,5.915912216834658304e+18,3.736523082644250989e+08
9.000000000000000222e-01,5.912065140897801216e+18,4.209023925375729203e+08
9.100000000000000311e-01,5.652509793432858624e+18,3.802655157126085162e+08
9.200000000000000400e-01,5.647970379663935488e+18,3.788513974646436572e+08
9.300000000000000488e-01,5.607568284180175872e+18,3.863094951759149432e+08
9.400000000000000577e-01,5.590074141884607488e+18,3.898953354597324133e+08
9.500000000000000666e-01,5.551073153395203072e+18,4.018174850191863179e+08
9.599999999999999645e-01,5.547859766693088256e+18,4.019008252771691680e+08
9.699999999999999734e-01,5.540429460476042240e+18,4.039351144731764793e+08
9.799999999999999822e-01,5.538430578556336128e+18,4.111571739642072916e+08
9.899999999999999911e-01,5.530774325381041152e+18,4.099926014975464344e+08
1.000000000000000000e+00,5.436107516282506240e+18,4.118455549533003569e+08
1.010000000000000009e+00,5.284438413186188288e+18,4.107198136264134049e+08
1.020000000000000018e+00,5.274453875387231232e+18,4.096048949822843075e+08
1.030000000000000027e+00,5.263884296938546176e+18,4.105746940991613865e+08
1.040000000000000036e+00,5.255340524732948480e+18,4.117042147476386428e+08
1.050000000000000044e+00,5.244487947167105024e+18,4.099799192396272421e+08
1.060000000000000053e+00,5.226500851489528832e+18,4.153225093927645087e+08
1.070000000000000062e+00,5.210482547736373248e+18,4.167617406604193449e+08
1.080000000000000071e+00,5.195395452236341248e+18,4.203644128488412499e+08
1.090000000000000080e+00,5.159568345725163520e+18,4.201671290625047088e+08
1.100000000000000089e+00,5.139618010748406784e+18,4.229766619800701737e+08
1.110000000000000098e+00,5.111653397274490880e+18,4.211538022469332814e+08
1.120000000000000107e+00,5.104194960545447936e+18,4.224190654544489980e+08
1.130000000000000115e+00,5.055088496081755136e+18,4.311062852700324655e+08
1.140000000000000124e+00,5.035820169644383232e+18,4.301278816804840565e+08
1.150000000000000133e+00,5.011832308294335488e+18,4.193647649329966307e+08
1.159999999999999920e+00,4.997913749032242176e+18,4.213748876737488508e+08
1.169999999999999929e+00,4.972511268918227968e+18,4.274815493683387041e+08
1.179999999999999938e+00,4.941727721958649856e+18,4.293213810558217764e+08
1.189999999999999947e+00,4.913621518477315072e+18,4.300373846298471093e+08
1.199999999999999956e+00,4.878929228261037056e+18,4.431474560114443302e+08
1.209999999999999964e+00,4.851056839951251456e+18,4.447595191173617840e+08
1.219999999999999973e+00,4.828114016059496448e+18,4.501539612869627476e+08
1.229999999999999982e+00,4.675415472278304768e+18,4.326449355480282307e+08
1.239999999999999991e+00,4.661762438775192576e+18,inf
1.250000000000000000e+00,4.585418642701220352e+18,4.309323728786883354e+08
1.260000000000000009e+00,4.570605374474127360e+18,4.324046406885354519e+08
1.270000000000000018e+00,4.451602285393831936e+18,4.351331128762813210e+08
1.280000000000000027e+00,4.382375022898184192e+18,4.307686018974401355e+08
1.290000000000000036e+00,4.369998427668580352e+18,4.321923802639230490e+08
1.300000000000000044e+00,4.353144685183498240e+18,4.334720404823080897e+08
1.310000000000000053e+00,4.327624834332715520e+18,4.295875784756186008e+08
1.320000000000000062e+00,4.209523110953796096e+18,4.230431629119488001e+08
1.330000000000000071e+00,4.195813503974081536e+18,4.218363641876061559e+08
1.340000000000000080e+00,4.183785347139514880e+18,4.231405662147012949e+08
1.350000000000000089e+00,4.160817239472472064e+18,4.247809916543103456e+08
1.360000000000000098e+00,4.125605343350314496e+18,4.209423271809432507e+08
1.370000000000000107e+00,4.097649614952668160e+18,4.230012702126005292e+08
1.380000000000000115e+00,4.090566251539480576e+18,4.205290258743520379e+08
1.390000000000000124e+00,4.080287030188794880e+18,4.229080197615153790e+08
1.400000000000000133e+00,4.061344508491126272e+18,4.172483939341719151e+08
1.409999999999999920e+00,4.038503364074220032e+18,4.138363121273818612e+08
1.419999999999999929e+00,4.025979098234595328e+18,4.135361219598107338e+08
1.429999999999999938e+00,4.018949696316768256e+18,4.127388664777939916e+08
1.439999999999999947e+00,4.008898860207395840e+18,4.128286841488356590e+08
1.449999999999999956e+00,3.973479523591547392e+18,3.930809313871982098e+08
1.459999999999999964e+00,3.960575922694904320e+18,3.901735249030849934e+08
1.469999999999999973e+00,3.937040216424360448e+18,3.865685392628214955e+08
1.479999999999999982e+00,3.926793526482731520e+18,3.921392807164025307e+08
1.489999999999999991e+00,3.908450028936315904e+18,3.848304369725493193e+08
1.500000000000000000e+00,3.877798016253759488e+18,3.834790602886379957e+08
1.510000000000000009e+00,3.867788482945674752e+18,3.810289159207919836e+08
1.520000000000000018e+00,3.859926209210030592e+18,3.808928054146130681e+08
1.530000000000000027e+00,3.852495797739066880e+18,3.823120348594069481e+08
1.540000000000000036e+00,3.830798463277279744e+18,3.772131958685329556e+08
1.550000000000000044e+00,3.817220972540978176e+18,3.740597557043616772e+08
1.560000000000000053e+00,3.799877761458886656e+18,3.740971164565817714e+08
1.570000000000000062e+00,3.777434493912335360e+18,3.748277742554572821e+08
1.580000000000000071e+00,3.767291081402597376e+18,3.770364631063729525e+08
1.590000000000000080e+00,3.759099527156611584e+18,3.685849492192406058e+08
1.600000000000000089e+00,3.748326298859717632e+18,3.687167951260653138e+08
1.610000000000000098e+00,3.730273919416073216e+18,3.673801680444049835e+08
1.620000000000000107e+00,3.710963231607020544e+18,3.630948925907412171e+08
1.630000000000000115e+00,3.691626962173966848e+18,3.636893423372454643e+08
1.640000000000000124e+00,3.680368271004727296e+18,3.639955749198828936e+08
1.650000000000000133e+00,3.671060906106541568e+18,3.609107429289139509e+08
1.660000000000000142e+00,3.661653114585873408e+18,3.584368641242374778e+08
1.669999999999999929e+00,3.648339900630878720e+18,3.599345739882079959e+08
1.679999999999999938e+00,3.617718485385644032e+18,3.537521234551411271e+08
1.689999999999999947e+00,3.606516294045585920e+18,3.503636602716525197e+08
1.699999999999999956e+00,3.595219172635531264e+18,3.477436652036594152e+08
1.709999999999999964e+00,3.553869033463099392e+18,3.472209145277542472e+08
1.719999999999999973e+00,3.533515121790731776e+18,3.423801074111914039e+08
1.729999999999999982e+00,3.520379605689182208e+18,3.417588158137395978e+08
1.739999999999999991e+00,3.507358184395933184e+18,3.360845857513540983e+08
1.750000000000000000e+00,3.490694204765683712e+18,3.350497767426912189e+08
1.760000000000000009e+00,3.467556649187258880e+18,3.439751246120197177e+08
1.770000000000000018e+00,3.451123557632974848e+18,3.375153158422088027e+08
1.780000000000000027e+00,3.435696097209903616e+18,3.260779465070825219e+08
1.790000000000000036e+00,3.417476725053733888e+18,3.262089753473390341e+08
1.800000000000000044e+00,3.385672031683596800e+18,3.270519781388376951e+08
1.810000000000000053e+00,3.365183623099573760e+18,3.315841714901709557e+08
1.820000000000000062e+00,3.342505537934616064e+18,3.212154608491352797e+08
1.830000000000000071e+00,3.324302380710434816e+18,3.354712684009361267e+08
1.840000000000000080e+00,3.311042749974437888e+18,3.192018973843620420e+08
1.850000000000000089e+00,3.297932569928316416e+18,3.114427120840044618e+08
1.860000000000000098e+00,3.282565744409758208e+18,3.133855402547861338e+08
1.870000000000000107e+00,3.268412455061945856e+18,3.125277362000879645e+08
1.880000000000000115e+00,3.255447389543709696e+18,3.086215368910822868e+08
1.890000000000000124e+00,3.241574944195107328e+18,3.117226202596957684e+08
1.900000000000000133e+00,3.225785835921132544e+18,3.096866329814636111e+08
1.910000000000000142e+00,3.194166674536373248e+18,3.031065480310880542e+08
1.919999999999999929e+00,3.174153328108206080e+18,3.048045206640620232e+08
1.929999999999999938e+00,3.156209362450225664e+18,3.056930487339332104e+08
1.939999999999999947e+00,3.139456611811073024e+18,3.127784422352858186e+08
1.949999999999999956e+00,3.123361431408783360e+18,3.028560999951068163e+08
1.959999999999999964e+00,3.109871361920438272e+18,2.918104725293256640e+08
1.969999999999999973e+00,3.096483693636341760e+18,2.907760368488956690e+08
1.979999999999999982e+00,3.067228137999991808e+18,2.967733125899900794e+08
1.989999999999999991e+00,3.053758477787928576e+18,3.021772200620978475e+08
2.000000000000000000e+00,3.037796740640953344e+18,2.983765885540803075e+08
2.010000000000000231e+00,3.018122817481071104e+18,2.938063675776121020e+08
2.020000000000000018e+00,3.002665000007786496e+18,2.918694506661980748e+08
2.030000000000000249e+00,2.983731548982734848e+18,2.965053036174630523e+08
2.040000000000000036e+00,2.963432129558910464e+18,2.868361952962433696e+08
2.049999999999999822e+00,2.950272390829018112e+18,2.844764400425674915e+08
2.060000000000000053e+00,2.936709020765880832e+18,2.901464695404679179e+08
2.069999999999999840e+00,2.922270075692013568e+18,2.888985083514547944e+08
2.080000000000000071e+00,2.852194898053583872e+18,2.837295434769809246e+08
2.089999999999999858e+00,2.835072423590673920e+18,2.864291423145325780e+08
2.100000000000000089e+00,2.820411701532306432e+18,2.851678656321331263e+08
2.109999999999999876e+00,2.801388851832763392e+18,2.790977732440765500e+08
2.120000000000000107e+00,2.786271836772118528e+18,2.792365547722833157e+08
2.129999999999999893e+00,2.765706494743154176e+18,2.800194794133557677e+08
2.140000000000000124e+00,2.716407333980504576e+18,2.873417434781549573e+08
2.149999999999999911e+00,2.692774836756246528e+18,2.832964309941914082e+08
2.160000000000000142e+00,2.676112205438024192e+18,2.805972708351882696e+08
2.169999999999999929e+00,2.662872872866070016e+18,2.819274970286107063e+08
2.180000000000000160e+00,2.649475826448862208e+18,2.781482245961893797e+08
2.189999999999999947e+00,2.637261518668851200e+18,2.842594694882041216e+08
2.200000000000000178e+00,2.624943641470577664e+18,2.872350286820569038e+08
2.209999999999999964e+00,2.598623826970385920e+18,2.889870296808263063e+08
2.220000000000000195e+00,2.567892405285085696e+18,2.805978236369685531e+08
2.229999999999999982e+00,2.541939949681798656e+18,2.989133353114807010e+08
2.240000000000000213e+00,2.506994681322121216e+18,3.416061013081447482e+08
2.250000000000000000e+00,2.495454613580689920e+18,3.335635631613758802e+08
2.260000000000000231e+00,2.481540697042155520e+18,3.353723803480861783e+08
2.270000000000000018e+00,2.463767450610367488e+18,3.377097412040740848e+08
2.280000000000000249e+00,2.438720554759557632e+18,3.317495833927034140e+08
2.290000000000000036e+00,2.428847371774988800e+18,3.295820217222483158e+08
2.300000000000000266e+00,2.414840400072807936e+18,3.363637760727213621e+08
2.310000000000000053e+00,2.383916065959261696e+18,3.341752130687575936e+08
2.319999999999999840e+00,2.366417293942790656e+18,3.349950400475484729e+08
2.330000000000000071e+00,2.355531557408029184e+18,nan
2.339999999999999858e+00,2.343590744233255424e+18,3.314301067373571396e+08
2.350000000000000089e+00,2.332938238264738304e+18,3.342989783233597875e+08
2.359999999999999876e+00,2.314899960861078016e+18,3.413669218643345237e+08
2.370000000000000107e+00,2.304030525745398784e+18,3.375162921645936966e+08
2.379999999999999893e+00,2.293108112716703744e+18,3.377493222710233331e+08
