

    0.205715539915561631E-98    0.494703148528356905E+03    0.509473659438324861E-05    0.474562083447685320E-05    0.538230122099875507E-05    0.375880067181945685E-05    0.393715846393771287E-05    0.914110189281821107E-05    0.268405948565011543E+00    0.250013487058762751E+00    0.283555712434172269E+00    0.198024851942053354E+00
    0.464152229252830281E-98    0.493067712051560875E+03    0.325103544775657981E-05    0.645483306889722612E-05    0.666225376680201986E-06    0.219432412101236969E-05    0.259165466902808453E-05    0.286054949769257168E-05    0.258708204998835289E+00    0.513657357373286771E+00    0.530163309798870053E-01    0.174618106647990878E+00
    0.488054964870160858E-98    0.492959281144090369E+03    0.481905943741849831E-06    0.219497267087291480E-05    0.567600325217728304E-05    0.832683802932156699E-05    0.351893375746595054E-05    0.140028412814988500E-04    0.288917288026002278E-01    0.131595295637089493E+00    0.340293679242167302E+00    0.499219296318142935E+00
    0.143663008617180849E-97    0.490792026344884448E+03    0.153163426972854429E-04    0.112172245951950864E-05    0.422856538954216564E-05    0.650310952339848323E-06    0.435007518288607698E-05    0.487887634188201418E-05    0.718505640137393375E+00    0.526211726756674811E-01    0.198366420895916440E+00    0.305067662910227938E-01
    0.283395902298535604E-97    0.489425277286827850E+03    0.238745149914480065E-05    0.531426759950010094E-05    0.112818475879092086E-04    0.164947261131665470E-05    0.429566500851887071E-05    0.129313201992258633E-04    0.115710122230570964E+00    0.257561066151243578E+00    0.546785542596889385E+00    0.799432690212959762E-01
    0.951718981793346415E-97    0.486994427414938286E+03    0.857203113737839166E-05    0.139075992421716356E-05    0.101397283854995703E-04    0.285515216443923561E-05    0.475579557287983164E-05    0.129948805499388059E-04    0.373384169023118329E+00    0.605793108181937670E-01    0.441670590862759005E+00    0.124365929295928865E+00
    0.968940917911417690E-97    0.486950559747376246E+03    0.135769352642812619E-05    0.459540538061695901E-05    0.618418061108443911E-05    0.332190155966054949E-05    0.322676745034587960E-05    0.950608217074498902E-05    0.878244144755313122E-01    0.297260595984550235E+00    0.400032872373112969E+00    0.214882117166805525E+00
    0.173089496454123115E-96    0.485782179274441205E+03    0.266986432999646665E-05    0.631301528920761565E-05    0.108108025635125193E-04    0.238480559040449653E-07    0.411180428280393362E-05    0.108346506194165644E-04    0.134722354291828050E+00    0.318557116512164229E+00    0.545517147360991217E+00    0.120338183501643306E-02
    0.539388199217555967E-95    0.478895755585294523E+03    0.145670343622923419E-04    0.170689981535177637E-05    0.111937120275168813E-05    0.236913031233497501E-05    0.403328062206574437E-05    0.348850151508666314E-05    0.737107236617120853E+00    0.863709231944332495E-01    0.566413583910320637E-01    0.119880481797413896E+00
    0.272147259303482700E-93    0.471045599650446434E+03    0.164837430333268492E-05    0.197293623018254420E-05    0.153448616040393590E-05    0.102944238887665880E-04    0.325943328481981832E-05    0.118289100491705237E-04    0.106689370194489722E+00    0.127696314730516514E+00    0.993180745991130709E-01    0.666296240475880652E+00
