    0.330310159483470023E-04    0.371594831938376784E-04    0.229656576914063252E-04    0.367391599351146736E-04    0.269766827470466569E-04    0.597048176265209954E-04    0.254289506119475650E+00    0.286072539936175207E+00    0.176801275540206415E+00    0.282836678404142894E+00   -0.322393858129411470E+06   -0.552145825119699829E+01    1
    0.385669245151164231E-04    0.330276297174908061E-04    0.247520274229082193E-04    0.337278970815482033E-04    0.269772289127862140E-04    0.584799245044564226E-04    0.296498782002246053E+00    0.253913219858092398E+00    0.190291190579688491E+00    0.259296807559973086E+00   -0.309072681978014472E+06   -0.552545825119700584E+01    1
    0.177670379552906653E-04    0.348409763430409321E-04    0.360419281775927101E-04    0.388153171379491892E-04    0.266074340006327049E-04    0.748572453155418925E-04    0.139387296657236592E+00    0.273337036684219714E+00    0.282758833950312316E+00    0.304516832708231322E+00   -0.290719749074742955E+06   -0.552945825119701162E+01    1
    0.296249783478057532E-04    0.307957458993885250E-04    0.301657845946017956E-04    0.370506013997333911E-04    0.265595388912347511E-04    0.672163859943351833E-04    0.232103173534295798E+00    0.241275800126728945E+00    0.236340234728901893E+00    0.290280791610073530E+00   -0.287618152563336014E+06   -0.553345825119701562E+01    1
    0.237088235881311321E-04    0.357807624754775106E-04    0.319913607140780046E-04    0.319740648163761119E-04    0.256884740440027572E-04    0.639654255304541097E-04    0.192044237670067564E+00    0.289828351344128765E+00    0.259133754887732271E+00    0.258993656098071456E+00   -0.281833847601341200E+06   -0.553745825119701252E+01    1
    0.290549032063680581E-04    0.334800339249716216E-04    0.347836880941222173E-04    0.281236520699811050E-04    0.260590213727226926E-04    0.629073401641033189E-04    0.231619704558915451E+00    0.266895935300338061E+00    0.277288397851701118E+00    0.224195962289045314E+00   -0.279174232125246665E+06   -0.554145825119701030E+01    1
    0.378505472577709789E-04    0.332564909184289225E-04    0.102162184890183020E-04    0.356171079854672085E-04    0.242307745020493780E-04    0.458333264744855139E-04    0.323673928765614904E+00    0.284388466016588570E+00    0.873626358147192861E-01    0.304574969403077267E+00   -0.278139214236509812E+06   -0.554545825119700275E+01    1
    0.381219116565718920E-04    0.280250536871635237E-04    0.186604640223360930E-04    0.354032836262046212E-04    0.249379376580885079E-04    0.540637476485407141E-04    0.317125742853062775E+00    0.233132746571133059E+00    0.155231289773109321E+00    0.294510220802694844E+00   -0.266409491842157498E+06   -0.554945825119700675E+01    1
    0.318462446025840978E-04    0.388075069223746920E-04    0.203433219241630522E-04    0.214512100631618471E-04    0.232599851731865992E-04    0.417945319873248993E-04    0.283207921080496194E+00    0.345114266845482076E+00    0.180912694162563892E+00    0.190765117911457921E+00   -0.261135106025106448E+06   -0.555345825119701342E+01    1
    0.251223384756641102E-04    0.296081530867760219E-04    0.360586498985545611E-04    0.326609096225435026E-04    0.257060963949730660E-04    0.687195595210980637E-04    0.203502050061234230E+00    0.239839131915306342E+00    0.292091008323308088E+00    0.264567809700151424E+00   -0.261017504679728125E+06   -0.555745825119701031E+01    1
    0.368535152337161800E-04    0.326787514587850982E-04    0.150832911618805548E-04    0.296215803510327538E-04    0.236521086698653764E-04    0.447048715129133069E-04    0.322605378711854018E+00    0.286060662689431755E+00    0.132034917880721553E+00    0.259299040717992701E+00   -0.259703531578713824E+06   -0.556145825119700987E+01    1
    0.376659211976492145E-04    0.221585322709349288E-04    0.378313476347302038E-04    0.311056530884560038E-04    0.267478965500630715E-04    0.689370007231862077E-04    0.292524819901083366E+00    0.172089795117824712E+00    0.293809571134434677E+00    0.241575813846657300E+00   -0.259083536003179412E+06   -0.556545825119700499E+01    1
    0.187776078432201542E-04    0.369307514179844081E-04    0.223770629969191227E-04    0.349281500206418256E-04    0.235411949102593094E-04    0.573052130175609483E-04    0.166153564254231972E+00    0.326781559712925274E+00    0.198003324253149204E+00    0.309061551779693522E+00   -0.258237190307761251E+06   -0.556945825119699478E+01    1
    0.388986504203052538E-04    0.345583213704748994E-04    0.890047131057654575E-05    0.279188568752739110E-04    0.227893194999945168E-04    0.368193281858504584E-04    0.352738080880012517E+00    0.313379405890462259E+00    0.807106451020092597E-01    0.253171868127515909E+00   -0.257122261747733282E+06   -0.557345825119699168E+01    1
    0.356996153004636340E-04    0.289634937987177261E-04    0.302973581358542904E-04    0.251323042071971042E-04    0.248914459805874306E-04    0.554296623430513912E-04    0.297266978451204533E+00    0.241175996280923538E+00    0.252282945692763716E+00    0.209274079575108241E+00   -0.252691700634269626E+06   -0.557745825119699568E+01    1
    0.350359799417838320E-04    0.358515627032539462E-04    0.351072060957485752E-04    0.103570565131622725E-04    0.240271077158754467E-04    0.454642626089108511E-04    0.301121068687456583E+00    0.308130695737849403E+00    0.301733230688804865E+00    0.890150048858892734E-01   -0.248378286425766186E+06   -0.558145825119699612E+01    1
    0.141566875626311834E-04    0.340915627444931919E-04    0.262203220658972936E-04    0.387488867716737602E-04    0.236477839729420174E-04    0.649692088375710504E-04    0.125039792180272280E+00    0.301115773150527233E+00    0.231592567647953579E+00    0.342251867021246992E+00   -0.247828370599264803E+06   -0.558545825119700012E+01    1
    0.344745692214806085E-04    0.307987697400071588E-04    0.357046016960051700E-04    0.173710066084012112E-04    0.244989244958662595E-04    0.530756083044063812E-04    0.291295951657488950E+00    0.260236955642804968E+00    0.301689220908638700E+00    0.146777871791067438E+00   -0.243328714771443018E+06   -0.558945825119700590E+01    1
